SOURCE	REFERENCE	REFERENCE_PAGE	GROUPID	_EDITOR	COMMENT	VERSION	_COMMENT_INTERN	EXAMPLEID
			SB0035	Sandra		1		bcms0100034
			SB0042	Sandra		1		bcms0100035
			SB0048	Sandra		1		bcms0100036
			SB0048	Sandra		1		bcms0100037
			SB0057	Sandra		1		bcms0100038
			SB0060	Sandra	This example has been adapted from the original source.	1		bcms0100039
			SB0066	Sandra	This example has been adapted from the original source.	1		bcms0100040
			SB0067	Sandra		1		bcms0100041
			SB0068	Sandra		1		bcms0100042
			SB0069	Sandra		1		bcms0100043
			SB0073	Sandra		1		bcms0100044
			SB0084	Sandra		1		bcms0100045
			SB0087	Sandra		1		bcms0100046
			SB0090	Sandra		1		bcms0100047
			SB0094	Sandra		1		bcms0100048
			SB0095	Sandra		1		bcms0100049
			SB0096	Sandra		1		bcms0100050
			SB0098	Sandra	This example has been adapted from the original source.	1	diese Beispiele sollten parallel geführt werden	bcms0100051
			SB0098	Sandra	This example has been adapted from the original source.	1	diese Beispiele sollten parallel geführt werden	bcms0100052
			SB0101	Sandra		1		bcms0100053
			SB0103	Sandra	This example has been adapted from the original source.	1	diese Beispiele sollten parallel geführt werden	bcms0100054
			SB0109	Sandra		1		bcms0100055
			SB0110	Sandra		1		bcms0100056
			SB0111	Sandra	This example has been adapted from the original source.	1		bcms0100057
			SB0111	Sandra	This example has been adapted from the original source.	1		bcms0100058
PS			BS0004	Barbara		1		cs0100001
PS			BS0004	Barbara		1		cs0100002
PS			BS0010	Barbara		1	diese Sätze sollten als Parallebeispiele miteinander verknüpft werden (hier trotz Übersetzung unproblematisch)	cs0100003
PS			BS0025	Barbara		1		cs0100004
PS			BS0027	Barbara		1		cs0100005
PS			BS0028	Barbara		1		cs0100006
PS			BS0033	Barbara		1		cs0100007
PS			BS0036	Barbara		1		cs0100008
PS			BS0040	Barbara		1		cs0100009
PS			BS0041	Barbara		1		cs0100010
CNC			BS0042	Barbara		1		cs0100011
CNC			BS0043	Barbara		1		cs0100012
CNC			BS0044	Barbara	This example has been adapted from the original source.	1		cs0100013
CNC			BS0045	Barbara	This example has been adapted from the original source.	1		cs0100014
PS			BS0060	Barbara		1		cs0100015
PS			BS0062	Barbara		1		cs0100016
PS			BS0064	Barbara		1		cs0100017
	Lichtenberk (1995)	310	BW0018	Björn	This example has been adapted from the original source.	1		cs0100018
	Kučera (1984)		BW0019	Björn	This example has been adapted from the original source.	1		cs0100019
	Fried (1999)	483	BW0198	Björn		1		cs0100020
ČapVěc	Adamec (1983)		IM0005	Imke		1		cs0100021
	Fried (2010)		IM0020	Imke		1		cs0100022
			SB0036	Sandra		1		cs0100023
			SB0039	Sandra		1		cs0100024
			SB0044	Sandra		1		cs0100025
			SB0047	Sandra		1		cs0100026
			SB0047	Sandra		1		cs0100027
			SB0050	Sandra		1		cs0100028
			SB0051	Sandra		1		cs0100029
			SB0059	Sandra		1		cs0100030
			SB0061	Sandra		1		cs0100031
			SB0062	Sandra		1		cs0100032
			SB0063	Sandra		1		cs0100033
			SB0063	Sandra		1		cs0100034
			SB0063	Sandra		1		cs0100035
			SB0064	Sandra		1		cs0100036
			SB0065	Sandra	This example has been adapted from the original source.	1		cs0100037
			SB0065	Sandra	This example has been adapted from the original source.	1		cs0100038
			SB0079	Sandra		1		cs0100039
			SB0080	Sandra		1		cs0100040
			SB0081	Sandra		1		cs0100041
			SB0082	Sandra		1		cs0100042
			SB0083	Sandra		1		cs0100043
			SB0085	Sandra	This example has been adapted from the original source.	1		cs0100044
			SB0085	Sandra	This example has been adapted from the original source.	1		cs0100045
			SB0091	Sandra	This example has been adapted from the original source.	1		cs0100046
			SB0092	Sandra		1		cs0100047
			SB0097	Sandra		1		cs0100048
			SB0098	Sandra	This example has been adapted from the original source.	1	diese Beispiele sollten parallel geführt werden	cs0100049
			SB0098	Sandra	This example has been adapted from the original source.	1	diese Beispiele sollten parallel geführt werden	cs0100050
			SB0104	Sandra		1	diese Beispiele sollten parallel geführt werden	cs0100051
			SB0109	Sandra		1		cs0100052
			SB0110	Sandra		1		cs0100053
			SB0111	Sandra	This example has been adapted from the original source.	1		cs0100054
			SB0111	Sandra	This example has been adapted from the original source.	1		cs0100055
NKRJa			SB0014	Sandra	This example has been adapted from the original source.	1		cu0100001
NKRJa			SB0015	Sandra	This example has been adapted from the original source.	1		cu0100002
NKRJa			SB0016	Sandra		1		cu0100003
NKRJa			SB0017	Sandra	This example has been adapted from the original source.	1		cu0100004
NKRJa			SB0018	Sandra		1		cu0100005
NKRJa			SB0019	Sandra		1		cu0100006
NKRJa			SB0020	Sandra		1	→ ein zusammenhängender Text aus "Повҍсть врҍменьныхъ лҍтъ"	cu0100007
NKRJa			SB0021	Sandra		1		cu0100008
NKRJa			SB0022	Sandra		1		cu0100009
NKRJa			SB0023	Sandra		1		cu0100010
NKRJa			SB0024	Sandra		1		cu0100011
NKRJa			SB0026	Sandra	This example has been adapted from the original source.	1		cu0100012
NKRJa			SB0027	Sandra		1		cu0100013
	Šarić (2002)		BS0007	Barbara		1		pl0100001
	Šarić (2002)		BS0007	Barbara		1		pl0100002
PS			BS0010	Barbara		1		pl0100003
PS			BS0037	Barbara		1		pl0100004
PS			BS0041	Barbara		1		pl0100005
	Šarić (2002)		BS0054	Barbara		1		pl0100006
PS			BS0059	Barbara		1		pl0100007
PS			BS0059	Barbara		1		pl0100008
PS			BS0062	Barbara		1		pl0100009
PS			BS0064	Barbara		1		pl0100010
NKJP			BW0002	Björn		1		pl0100011
			BW0005	Björn		1		pl0100012
			BW0005	Björn		1		pl0100013
			BW0006	Björn		1		pl0100014
NKJP			BW0007	Björn	This example has been adapted from the original source.	1		pl0100015
			BW0008	Björn		1		pl0100016
NKJP			BW0014	Björn		1		pl0100017
NKJP			BW0015	Björn	This example has been adapted from the original source.	1		pl0100018
NKJP			BW0016	Björn		1		pl0100019
NKJP			BW0017	Björn	This example has been adapted from the original source.	1		pl0100020
	Laskowski (1998)	19	BW0020	Björn	This example has been adapted from the original source.	1		pl0100021
	Laskowski (1998)	19	BW0021	Björn		1		pl0100022
NKJP			BW0030	Björn		1		pl0100023
NKJP			BW0031	Björn	This example has been adapted from the original source.	1		pl0100024
NKJP			BW0032	Björn	This example has been adapted from the original source.	1		pl0100025
NKJP			BW0033	Björn		1		pl0100026
NKJP			BW0034	Björn		1		pl0100027
NKJP			BW0035	Björn		1		pl0100028
NKJP			BW0036	Björn		1		pl0100029
NKJP			BW0036	Björn		1		pl0100030
NKJP			BW0036	Björn		1		pl0100031
NKJP			BW0036	Björn		1		pl0100032
NKJP			BW0037	Björn		1		pl0100033
NKJP			BW0038	Björn		1		pl0100034
NKJP			BW0038	Björn		1		pl0100035
	Nau et al. (2019)	283	BW0042	Björn		1		pl0100036
	Andrason (2018)	586	BW0043	Björn		1		pl0100037
			BW0046	Björn		1	Holvoet (2021)	pl0100038
			BW0047	Björn		1	Holvoet (2021)	pl0100039
NKJP			BW0054	Björn		1		pl0100040
NKJP			BW0055	Björn		1		pl0100041
NKJP			BW0063	Björn	This example has been adapted from the original source.	1		pl0100042
NKJP			BW0064	Björn	This example has been adapted from the original source.	1		pl0100043
NKJP			BW0066	Björn		1		pl0100044
NKJP			BW0067	Björn		1		pl0100045
NKJP			BW0068	Björn		1		pl0100046
NKJP			BW0069	Björn		1		pl0100047
NKJP			BW0069	Björn		1		pl0100048
NKJP			BW0069	Björn		1		pl0100049
NKJP			BW0070	Björn	This example has been adapted from the original source.	1		pl0100050
NKJP			BW0071	Björn		1		pl0100051
NKJP			BW0073	Björn		1		pl0100052
NKJP			BW0077	Björn		1		pl0100053
NKJP			BW0078	Björn		1		pl0100054
NKJP			BW0079	Björn		1		pl0100055
NKJP			BW0080	Björn		1		pl0100056
NKJP			BW0082	Björn		1		pl0100057
NKJP			BW0083	Björn	This example has been adapted from the original source.	1		pl0100058
NKJP			BW0118	Björn		1		pl0100059
NKJP			BW0120	Björn		1		pl0100060
NKJP			BW0121	Björn	This example has been adapted from the original source.	1		pl0100061
NKJP			BW0122	Björn		1		pl0100062
NKJP			BW0123	Björn		1		pl0100063
NKJP			BW0124	Björn	This example has been adapted from the original source.	1		pl0100064
NKJP			BW0125	Björn		1		pl0100065
NKJP			BW0126	Björn		1		pl0100066
NKJP			BW0127	Björn		1		pl0100067
NKJP			BW0128	Björn		1		pl0100068
NKJP			BW0130	Björn		1		pl0100069
NKJP			BW0131	Björn		1		pl0100070
NKJP			BW0132	Björn		1		pl0100071
NKJP			BW0135	Björn		1		pl0100072
NKJP			BW0136	Björn		1		pl0100073
NKJP			BW0137	Björn	This example has been adapted from the original source.	1		pl0100074
NKJP			BW0138	Björn		1		pl0100075
NKJP			BW0139	Björn	This example has been adapted from the original source.	1		pl0100076
NKJP			BW0140	Björn	This example has been adapted from the original source.	1		pl0100077
NKJP			BW0141	Björn	This example has been adapted from the original source.	1		pl0100078
NKJP			BW0143	Björn		1		pl0100079
NKJP			BW0144	Björn		1		pl0100080
NKJP			BW0145	Björn		1		pl0100081
NKJP			BW0146	Björn		1		pl0100082
NKJP			BW0151	Björn		1		pl0100083
NKJP			BW0152	Björn		1		pl0100084
NKJP			BW0153	Björn		1		pl0100085
NKJP			BW0154	Björn		1		pl0100086
NKJP			BW0155	Björn		1		pl0100087
NKJP			BW0157	Björn		1		pl0100088
NKJP			BW0167	Björn		1		pl0100089
NKJP			BW0168	Björn		1		pl0100090
NKJP			BW0169	Björn		1		pl0100091
NKJP			BW0170	Björn		1		pl0100092
NKJP			BW0172	Björn		1		pl0100093
NKJP			BW0174	Björn		1		pl0100094
NKJP			BW0175	Björn		1		pl0100095
NKJP			BW0176	Björn		1		pl0100096
NKJP			BW0177	Björn		1		pl0100097
NKJP			BW0178	Björn		1		pl0100098
NKJP			BW0179	Björn		1		pl0100099
NKJP			BW0179	Björn		1		pl0100100
NKJP			BW0180	Björn		1		pl0100101
NKJP			BW0180	Björn		1		pl0100102
NKJP			BW0181	Björn		1		pl0100103
NKJP			BW0182	Björn		1		pl0100104
NKJP			BW0183	Björn		1		pl0100105
NKJP			BW0183	Björn	This example has been adapted from the original source.	1		pl0100106
NKJP			BW0183	Björn		1		pl0100107
NKJP			BW0184	Björn		1		pl0100108
NKJP			BW0184	Björn	This example has been adapted from the original source.	1		pl0100109
NKJP			BW0184	Björn		1		pl0100110
NKJP			BW0184	Björn		1		pl0100111
NKJP			BW0185	Björn		1		pl0100112
NKJP			BW0186	Björn		1		pl0100113
NKJP			BW0187	Björn		1		pl0100114
NKJP			BW0188	Björn		1		pl0100115
NKJP			BW0190	Björn		1		pl0100116
NKJP			BW0193	Björn		1		pl0100117
NKJP			BW0195	Björn		1		pl0100118
NKJP			BW0196	Björn		1		pl0100119
NKJP			BW0197	Björn		1		pl0100120
NKJP			BW0198	Björn		1		pl0100121
NKJP			BW0198	Björn		1		pl0100122
NKJP			BW0198	Björn		1		pl0100123
NKJP			BW0198	Björn		1		pl0100124
NKJP			BW0198	Björn		1		pl0100125
NKJP			BW0204	Björn		1		pl0100126
NKJP			BW0204	Björn		1		pl0100127
NKJP			BW0205	Björn		1		pl0100128
NKJP			BW0205	Björn		1		pl0100129
NKJP			BW0241	Björn	This example has been adapted from the original source.	1		pl0100130
NKJP			BW0242	Björn	This example has been adapted from the original source.	1		pl0100131
NKJP			BW0243	Björn		1		pl0100132
NKJP			BW0244	Björn	This example has been adapted from the original source.	1		pl0100133
NKJP			BW0245	Björn	This example has been adapted from the original source.	1		pl0100134
NKJP			BW0246	Björn		1		pl0100135
NKJP			BW0247	Björn	This example has been adapted from the original source.	1		pl0100136
NKJP			BW0248	Björn		1		pl0100137
NKJP			BW0248	Björn		1		pl0100138
NKJP			BW0249	Björn		1		pl0100139
NKJP			BW0250	Björn		1		pl0100140
NKJP			BW0251	Björn		1		pl0100141
NKJP			BW0252	Björn		1		pl0100142
NKJP			BW0253	Björn	This example has been adapted from the original source.	1		pl0100143
NKJP			BW0254	Björn	This example has been adapted from the original source.	1		pl0100144
NKJP			BW0256	Björn		1		pl0100145
NKJP			BW0257	Björn	This example has been adapted from the original source.	1		pl0100146
NKJP			BW0258	Björn		1		pl0100147
NKJP			BW0259	Björn		1		pl0100148
NKJP			BW0261	Björn		1		pl0100149
NKJP			BW0264	Björn		1		pl0100150
NKJP			BW0264	Björn		1		pl0100151
NKJP			BW0264	Björn	This example has been adapted from the original source.	1		pl0100152
NKJP			BW0265	Björn		1		pl0100153
NKJP			BW0267	Björn	This example has been adapted from the original source.	1		pl0100154
NKJP			BW0268	Björn		1		pl0100155
NKJP			BW0269	Björn		1		pl0100156
NKJP			BW0279	Björn		1		pl0100157
NKJP			BW0280	Björn		1		pl0100158
NKJP			BW0284	Björn		1		pl0100159
NKJP			BW0285	Björn		1		pl0100160
NKJP			BW0286	Björn		1		pl0100161
NKJP			BW0288	Björn	This example has been adapted from the original source.	1		pl0100162
NKJP			BW0289	Björn		1		pl0100163
NKJP			BW0289	Björn	This example has been adapted from the original source.	1		pl0100164
NKJP			BW0290	Björn		1		pl0100165
NKJP			BW0293	Björn		1		pl0100166
NKJP			BW0297	Björn	This example has been adapted from the original source.	1		pl0100167
NKJP			BW0299	Björn	This example has been adapted from the original source.	1		pl0100168
NKJP			BW0300	Björn		1		pl0100169
NKJP			BW0301	Björn	This example has been adapted from the original source.	1		pl0100170
NKJP			BW0303	Björn	This example has been adapted from the original source.	1		pl0100171
NKJP			BW0305	Björn		1		pl0100172
NKJP			BW0310	Björn		1		pl0100173
NKJP			BW0322	Björn		1		pl0100174
NKJP			BW0323	Björn	This example has been adapted from the original source.	1		pl0100175
NKJP			BW0324	Björn		1		pl0100176
NKJP			BW0326	Björn	This example has been adapted from the original source.	1		pl0100177
NKJP			BW0328	Björn		1		pl0100178
NKJP			BW0331	Björn	This example has been adapted from the original source.	1		pl0100179
NKJP			BW0332	Björn		1		pl0100180
NKJP			BW0336	Björn		1		pl0100181
NKJP			BW0340	Björn		1		pl0100182
NKJP			BW0341	Björn	This example has been adapted from the original source.	1		pl0100183
Holvoet (ESLL)			BW0343	Björn		1		pl0100184
Holvoet (ESLL)			BW0345	Björn		1		pl0100185
Holvoet (ESLL)			BW0346	Björn		1		pl0100186
Lab88			IM0004	Imke		1		pl0100187
NKJP			IM0006	Imke		1		pl0100188
NKJP			IM0008	Imke		1		pl0100189
NKJP			IM0011	Imke		1		pl0100190
NKJP			IM0013	Imke		1		pl0100191
NKJP			IM0015	Imke	This example has been adapted from the original source.	1		pl0100192
SPOKES	Guz (2017)		IM0021	Imke		1	Guz (2017)	pl0100193
SPOKES	Guz (2017)		IM0022	Imke		1	Guz (2017)	pl0100194
NKJP			IM0040	Imke	This example has been adapted from the original source.	1		pl0100195
NKJP			IM0041	Imke	This example has been adapted from the original source.	1		pl0100196
NKJP			IM0042	Imke	This example has been adapted from the original source.	1		pl0100197
NKJP			IM0043	Imke		1		pl0100198
NKJP			IM0044	Imke		1		pl0100199
NKJP			IM0045	Imke		1		pl0100200
NKJP			IM0046	Imke	This example has been adapted from the original source.	1		pl0100201
NKJP			IM0047	Imke	This example has been adapted from the original source.	1		pl0100202
NKJP			IM0048	Imke		1		pl0100203
			SB0038	Sandra		1		pl0100204
			SB0041	Sandra	This example has been adapted from the original source.	1		pl0100205
			SB0052	Sandra		1		pl0100206
			SB0053	Sandra		1		pl0100207
			SB0074	Sandra		1		pl0100208
			SB0075	Sandra		1		pl0100209
			SB0076	Sandra	This example has been adapted from the original source.	1		pl0100210
			SB0077	Sandra		1		pl0100211
			SB0078	Sandra	This example has been adapted from the original source.	1		pl0100212
			SB0086	Sandra	This example has been adapted from the original source.	1		pl0100213
			SB0086	Sandra	This example has been adapted from the original source.	1		pl0100214
			SB0086	Sandra	This example has been adapted from the original source.	1		pl0100215
			SB0086	Sandra	This example has been adapted from the original source.	1		pl0100216
			SB0093	Sandra		1		pl0100217
			SB0098	Sandra	This example has been adapted from the original source.	1	diese Beispiele sollten parallel geführt werden	pl0100218
			SB0098	Sandra	This example has been adapted from the original source.	1	diese Beispiele sollten parallel geführt werden	pl0100219
			SB0099	Sandra		1		pl0100220
			SB0100	Sandra		1		pl0100221
			SB0102	Sandra		1		pl0100222
			SB0104	Sandra		1	diese Beispiele sollten parallel geführt werden	pl0100223
			SB0107	Sandra		1		pl0100224
			SB0108	Sandra		1		pl0100225
			SB0109	Sandra		1		pl0100226
			SB0110	Sandra		1		pl0100227
			SB0111	Sandra	This example has been adapted from the original source.	1		pl0100228
			SB0111	Sandra	This example has been adapted from the original source.	1		pl0100229
PS			BS0001	Barbara		1		ru0100001
PS			BS0002	Barbara		1		ru0100002
PS			BS0003	Barbara		1		ru0100003
NKRJa			BS0009	Barbara		1		ru0100004
NKRJa			BS0009	Barbara		1	zu diskutieren: sollen Sätze wie diese beiden verknüpft werden? In der Gegenüberstellung zeigen sich die Bedingungen an DOM. und: soll hier auch der erste Satz mit 'DOM' annotiert werden?	ru0100005
PS			BS0010	Barbara		1		ru0100006
PS			BS0011	Barbara		1		ru0100007
OPUS			BS0012	Barbara		1		ru0100008
NKRJa			BS0013	Barbara	This example has been adapted from the original source.	1	zweimal Prädikatsnomen, mit Ins bzw. Nom	ru0100009
NKRJa			BS0013	Barbara		1		ru0100010
NKRJa			BS0014	Barbara		1	zweimal Prädikatsnomen, mit Ins bzw. Nom	ru0100011
NKRJa			BS0014	Barbara		1		ru0100012
NKRJa			BS0015	Barbara		1	negiertes Objekt, mit Gen bzw Akk (bei jeweils hochindividualisierten Referenten)	ru0100013
NKRJa			BS0015	Barbara		1		ru0100014
NKRJa			BS0016	Barbara		1	interessant wg. interaktion von formaler & semantischer Kongruenz & DOM-ANIM innerhalb der Objekt-NP	ru0100015
NKRJa			BS0017	Barbara		1		ru0100016
PS			BS0019	Barbara		1		ru0100017
PS			BS0020	Barbara		1		ru0100018
PS			BS0026	Barbara		1		ru0100019
PS			BS0029	Barbara		1		ru0100020
PS			BS0030	Barbara		1		ru0100021
PS			BS0031	Barbara		1		ru0100022
PS			BS0037	Barbara		1		ru0100023
PS			BS0038	Barbara		1		ru0100024
PS			BS0039	Barbara		1		ru0100025
PS			BS0041	Barbara		1		ru0100026
AiF			BS0046	Barbara	This example has been adapted from the original source.	1		ru0100027
NKRJa			BS0047	Barbara		1		ru0100028
NKRJa			BS0049	Barbara		1		ru0100029
PS			BS0050	Barbara		1		ru0100030
AiF			BS0051	Barbara		1		ru0100031
NKRJa			BS0052	Barbara		1		ru0100032
NKRJa			BS0052	Barbara		1		ru0100033
NKRJa			BS0053	Barbara		1	Eigennamen, aber hier als Art Kategorie gemeint	ru0100034
NKRJa			BS0053	Barbara		1	Eigenname/Anrede	ru0100035
NKRJa			BS0056	Barbara		1		ru0100036
NKRJa			BS0057	Barbara		1		ru0100037
NKRJa			BS0058	Barbara		1		ru0100038
PS			BS0062	Barbara		1		ru0100039
PS			BS0064	Barbara		1	nicht in allen Sprachen eine Rel-Konstr, aber deshalb interessant; Problem: können wir bcsm als REL annotieren?	ru0100040
NKRJa			BW0001	Björn		1		ru0100041
NKRJa			BW0003	Björn		1		ru0100042
Komsomol’skaja pravda, 06/08/2008			BW0004	Björn		1		ru0100043
NKRJa			BW0009	Björn	This example has been adapted from the original source.	1		ru0100044
NKRJa			BW0009	Björn	This example has been adapted from the original source.	1		ru0100045
NKRJa			BW0009	Björn		1		ru0100046
NKRJa			BW0009	Björn	This example has been adapted from the original source.	1		ru0100047
NKRJa			BW0010	Björn		1		ru0100048
NKRJa			BW0011	Björn	This example has been adapted from the original source.	1		ru0100049
NKRJa			BW0012	Björn	This example has been adapted from the original source.	1		ru0100050
NKRJa			BW0013	Björn		1		ru0100051
		38	BW0022	Björn		1		ru0100052
NKRJa			BW0025	Björn	This example has been adapted from the original source.	1		ru0100053
NKRJa			BW0026	Björn		1		ru0100054
NKRJa			BW0027	Björn	This example has been adapted from the original source.	1		ru0100055
NKRJa			BW0028	Björn	This example has been adapted from the original source.	1		ru0100056
NKRJa			BW0029	Björn	This example has been adapted from the original source.	1		ru0100057
NKRJa			BW0039	Björn		1		ru0100058
NKRJa			BW0040	Björn		1		ru0100059
NKRJa			BW0041	Björn	This example has been adapted from the original source.	1		ru0100060
	Fortuin (2000)	114-134	BW0044	Björn		1		ru0100061
NKRJa			BW0045	Björn		1		ru0100062
NKRJa			BW0048	Björn		1		ru0100063
NKRJa			BW0049	Björn		1		ru0100064
NKRJa			BW0050	Björn		1		ru0100065
NKRJa			BW0050	Björn		1		ru0100066
NKRJa			BW0051	Björn		1		ru0100067
NKRJa			BW0052	Björn		1		ru0100068
NKRJa			BW0053	Björn		1		ru0100069
NKRJa			BW0056	Björn		1		ru0100070
NKRJa			BW0056	Björn	This example has been adapted from the original source.	1		ru0100071
NKRJa			BW0057	Björn		1		ru0100072
NKRJa			BW0057	Björn		1		ru0100073
NKRJa			BW0058	Björn		1		ru0100074
NKRJa			BW0059	Björn		1		ru0100075
NKRJa			BW0061	Björn		1		ru0100076
NKRJa			BW0062	Björn		1		ru0100077
NKRJa			BW0084	Björn		1		ru0100078
NKRJa			BW0086	Björn		1		ru0100079
NKRJa			BW0087	Björn		1		ru0100080
NKRJa			BW0088	Björn		1		ru0100081
NKRJa			BW0089	Björn		1		ru0100082
NKRJa			BW0090	Björn	This example has been adapted from the original source.	1		ru0100083
NKRJa			BW0091	Björn		1		ru0100084
NKRJa			BW0092	Björn	This example has been adapted from the original source.	1		ru0100085
NKRJa			BW0093	Björn		1		ru0100086
NKRJa			BW0094	Björn		1		ru0100087
NKRJa			BW0095	Björn		1		ru0100088
NKRJa			BW0096	Björn	This example has been adapted from the original source.	1		ru0100089
NKRJa			BW0097	Björn		1		ru0100090
NKRJa			BW0098	Björn		1		ru0100091
NKRJa			BW0100	Björn		1		ru0100092
NKRJa			BW0101	Björn		1		ru0100093
NKRJa			BW0104	Björn		1		ru0100094
NKRJa			BW0105	Björn		1		ru0100095
NKRJa			BW0107	Björn		1		ru0100096
NKRJa			BW0109	Björn	This example has been adapted from the original source.	1		ru0100097
NKRJa			BW0110	Björn		1		ru0100098
NKRJa			BW0111	Björn		1		ru0100099
NKRJa			BW0112	Björn		1		ru0100100
NKRJa			BW0113	Björn		1		ru0100101
NKRJa			BW0114	Björn		1		ru0100102
NKRJa			BW0115	Björn		1		ru0100103
NKRJa			BW0116	Björn		1		ru0100104
NKRJa			BW0117	Björn	This example has been adapted from the original source.	1		ru0100105
NKRJa			BW0159	Björn		1		ru0100106
NKRJa			BW0160	Björn		1		ru0100107
NKRJa			BW0161	Björn		1		ru0100108
NKRJa			BW0162	Björn		1		ru0100109
NKRJa			BW0163	Björn		1		ru0100110
NKRJa			BW0164	Björn		1		ru0100111
NKRJa			BW0164	Björn		1		ru0100112
NKRJa			BW0165	Björn		1		ru0100113
NKRJa			BW0166	Björn		1		ru0100114
NKRJa			BW0192	Björn	This example has been adapted from the original source.	1		ru0100115
NKRJa			BW0198	Björn		1		ru0100116
			BW0198	Björn		1	Činčlej (1990)	ru0100117
NKRJa			BW0206	Björn		1		ru0100118
NKRJa			BW0206	Björn		1		ru0100119
NKRJa			BW0206	Björn		1		ru0100120
NKRJa			BW0206	Björn		1		ru0100121
NKRJa			BW0208	Björn		1		ru0100122
NKRJa			BW0209	Björn	This example has been adapted from the original source.	1		ru0100123
NKRJa			BW0215	Björn	This example has been adapted from the original source.	1		ru0100124
NKRJa			BW0216	Björn	This example has been adapted from the original source.	1		ru0100125
NKRJa			BW0217	Björn	This example has been adapted from the original source.	1		ru0100126
NKRJa			BW0223	Björn	This example has been adapted from the original source.	1		ru0100127
NKRJa			BW0225	Björn	This example has been adapted from the original source.	1		ru0100128
NKRJa			BW0225	Björn		1		ru0100129
NKRJa			BW0226	Björn		1		ru0100130
NKRJa			BW0228	Björn	This example has been adapted from the original source.	1		ru0100131
NKRJa			BW0231	Björn		1		ru0100132
NKRJa			BW0234	Björn		1		ru0100133
NKRJa			BW0235	Björn		1		ru0100134
NKRJa			BW0236	Björn	This example has been adapted from the original source.	1		ru0100135
NKRJa			BW0238	Björn		1		ru0100136
NKRJa			BW0239	Björn	This example has been adapted from the original source.	1		ru0100137
NKRJa			BW0240	Björn	This example has been adapted from the original source.	1		ru0100138
NKRJa			BW0270	Björn	This example has been adapted from the original source.	1		ru0100139
NKRJa			BW0272	Björn		1		ru0100140
NKRJa			BW0273	Björn		1		ru0100141
NKRJa			BW0275	Björn	This example has been adapted from the original source.	1		ru0100142
NKRJa			BW0276	Björn		1		ru0100143
NKRJa			BW0277	Björn	This example has been adapted from the original source.	1		ru0100144
NKRJa			BW0278	Björn		1		ru0100145
NKRJa			BW0313	Björn	This example has been adapted from the original source.	1		ru0100146
NKRJa			BW0315	Björn		1		ru0100147
NKRJa			BW0316	Björn		1		ru0100148
NKRJa			BW0318	Björn	This example has been adapted from the original source.	1		ru0100149
NKRJa			BW0319	Björn	This example has been adapted from the original source.	1		ru0100150
NKRJa			BW0333	Björn		1		ru0100151
NKRJa			BW0335	Björn		1		ru0100152
Holvoet (ESLL)			BW0342	Björn		1		ru0100153
Holvoet (ESLL)			BW0344	Björn		1		ru0100154
PS			IM0001	Imke		1		ru0100155
NKRJa			IM0002	Imke		1		ru0100156
Og98			IM0003	Imke		1	Og98	ru0100157
	Wiemer & Giger (2005)		IM0007	Imke		1	ID23-25 sollten eine Gruppe bilden, die jedoch nicht aligniert ist	ru0100158
	Wiemer & Giger (2005)		IM0007	Imke		1		ru0100159
	Wiemer & Giger (2005)		IM0007	Imke		1		ru0100160
